text	label
hilarious AT_USER video - guy does a duet with AT_USER 's siri . pretty much sums up the love affair ! URL	positive
AT_USER you made it too easy for me to switch to AT_USER iphone . see ya !	positive
the 16 strangest things siri has said so far . i am sooo glad that AT_USER gave siri a sense of humor ! URL via AT_USER	positive
great up close & personal event AT_USER tonight in regent st store !	positive
from which companies do you experience the best customer service aside from AT_USER and AT_USER	positive
lmao i think AT_USER is onto something magical ! i am dying ! ! ! haha . siri suggested where to find whores and where to hide a body lolol	positive
rt AT_USER just registered as an AT_USER developer ... here 's hoping i can actually do it ... any help , greatly appreciated !	positive
wow . great deals on refurbed ipad ( first gen ) models . rt : apple offers great deals on refurbished 1st-gen ipads URL AT_USER	positive
just registered as an AT_USER developer ... here 's hoping i can actually do it ... any help , greatly appreciated !	positive
你好 ! currently learning mandarin for my upcoming trip to hong kong . i got ta hand it to AT_USER iphones & their uber useful flashcard apps 	positive
come to the dark side 📱 “ AT_USER hey AT_USER if you send me a free iphone , i will publicly and ceremoniously burn my blackberry . ”	positive
thanks to AT_USER covent garden geniusbar for replacing my macbook keyboard/cracked wristpad during my lunch break today , out of warranty .	positive
AT_USER AT_USER thanks ! !	positive
ipads replace bound playbooks on some n.f.l . teams URL AT_USER AT_USER	positive
AT_USER AT_USER is efffing amazing ! !	positive
rt AT_USER we 're one of a few `` featured education apps '' on the AT_USER **website** today , sweet ! URL	positive
we 're one of a few `` featured education apps '' on the AT_USER **website** today , sweet ! URL	positive
we did an unexpected workshop for the iphone4s at AT_USER yesterday and we got an awesome amount of info notjustaboutthephone AT_USER	positive
-- - » rt AT_USER no question bro . rt AT_USER should i get dis iphone or a evo 3d ?	positive
rt AT_USER i 'm over people bitching about the iphone4s ... i think it 's the smartest phone i 've ever had and i 'm very happy . : ...	positive
i 'm over people bitching about the iphone4s ... i think it 's the smartest phone i 've ever had and i 'm very happy . : ) way to go AT_USER	positive
AT_USER ceo points to AT_USER as 'corporate mentor ' as AT_USER signups triple URL	positive
at the bus with my iphone ; ) thxx AT_USER	positive
AT_USER AT_USER AT_USER appstore is well done , so is itunes on the mobile devices . i was talking about desktop app .	positive
nytimes : coach wants to see you . and bring your ipad . URL ipad AT_USER set red 42 red 42 hut hut AT_USER wish i had an ipad	positive
AT_USER AT_USER AT_USER apple sells 4 million iphone 4s units in first weekend ... steve jobs brilliance lives on for ever ! iphone rva	positive
AT_USER than apologize to AT_USER ; )	positive
AT_USER downloads of ios 5 are proving popular with users -- URL	positive
lmfao look at the argument i had with siri ! ! AT_USER AT_USER URL	positive
incredible : 4 million iphone 4ss in 3 days . 135 % better than the iphone 4 URL AT_USER iphone4s	positive
well AT_USER fixed my ios5 battery drain problem with a replacement iphone 4 -- it 's working like a champ now	positive
currently ordering a brand new macbook pro ! ! ! bahhh ... my macbook is 5 years old . i 'll miss it . but it 's time . cc : AT_USER -	positive
siri now knows who my dad , mom , brother and girlfriend is . thanks AT_USER	positive
well at least the AT_USER store has amazing call waiting music ! need4s	positive
sweet ... apple replaced my glass probono . thank you AT_USER	positive
not bad ! AT_USER sells over 4 million iphones in debut weekend - bloomberg URL - smartphone sm rt AT_USER	positive
loving new technology from AT_USER iphone 4s , mac air and icloud are unreal technology	positive
i 'm loving this new ios5 update : ) AT_USER	positive
another mention for apple store : URL - rt AT_USER once again getting great customer service from the AT_USER store ...	positive
time to go get my iphone 4s . looking forward to sticking it to the man by no longer paying for most texts . thanks AT_USER	positive
hey AT_USER i hate my computer i need a mack wan na send me a free one .	positive
